product_id,title,keyword,sort,page,position,sales,scraped_at
59910286,Workflow Automation module for Perfex CRM,perfex automation,relevance,1,1,81,2026-08-12T11:28:44+00:00
38350010,Webhooks Automation Module for Perfex CRM,perfex automation,relevance,1,2,634,2026-08-12T11:28:44+00:00
39897941,Marketing Automation module for Perfex CRM,perfex automation,relevance,1,3,596,2026-08-12T11:28:44+00:00
53317745,Zapier module for Perfex CRM - Workflow Automation,perfex automation,relevance,1,4,176,2026-08-12T11:28:44+00:00
50079462,Workflow Rules and Automation Module for Perfex,perfex automation,relevance,1,5,145,2026-08-12T11:28:44+00:00
56227226,Advanced Automation Manager for Perfex CRM,perfex automation,relevance,1,6,42,2026-08-12T11:28:44+00:00
24851275,Custom SMS & Email Notifications Automation for Perfex CRM,perfex automation,relevance,1,7,690,2026-08-12T11:28:44+00:00
25308081,Mailbox - Webmail Client & Email Automation Module for Perfex CRM,perfex automation,relevance,1,8,1800,2026-08-12T11:28:44+00:00
49922588,Perfex SaaS Bundle - Multi-Tenancy & Automation,perfex automation,relevance,1,9,70,2026-08-12T11:28:44+00:00
46529957,ReportPlus - Effortles Automated Reporting Module for Perfex CRM,perfex automation,relevance,1,10,74,2026-08-12T11:28:44+00:00
27095883,Telegram Smart Notifications & Automation Center for Perfex CRM,perfex automation,relevance,1,11,87,2026-08-12T11:28:44+00:00
32425043,Mautic - Automated Marketing Tool For Perfex CRM,perfex automation,relevance,1,12,47,2026-08-12T11:28:44+00:00
61372175,"FormSync – Automated Form to Lead, Customer & Ticket Sync for Perfex CRM",perfex automation,relevance,1,13,31,2026-08-12T11:28:44+00:00
26761482,Project Roadmap with Reporting & Workflow Automation module for Perfex CRM Projects,perfex automation,relevance,1,14,543,2026-08-12T11:28:44+00:00
26620578,Human Resources Management (HRM) & Workforce Automation module for Perfex CRM,perfex automation,relevance,1,15,644,2026-08-12T11:28:44+00:00
