product_id,title,keyword,sort,page,position,sales,scraped_at
54869954,Perfex GraphQL API - Smart Data Query & Custom Modules Access,perfex api,relevance,1,1,70,2026-08-13T10:56:26+00:00
61902641,API Integration Manager Module for Perfex CRM,perfex api,relevance,1,2,10,2026-08-13T10:56:26+00:00
45916466,Customers REST API - Third-Party Integration for Perfex CRM,perfex api,relevance,1,3,157,2026-08-13T10:56:26+00:00
38690826,WhatsApp Cloud API Business Integration module for Perfex CRM,perfex api,relevance,1,4,434,2026-08-13T10:56:26+00:00
62297963,"Data Builder — Visual Reporting, REST API & GraphQL for Perfex CRM",perfex api,relevance,1,5,12,2026-08-13T10:56:26+00:00
25278359,REST API module for Perfex CRM - Connect Apps and Automate Workflows with third party applications,perfex api,relevance,1,6,3000,2026-08-13T10:56:26+00:00
52004114,WhatsApp Official Cloud API Chat & Marketing Automation module for Perfex CRM,perfex api,relevance,1,7,425,2026-08-13T10:56:26+00:00
52769004,Flutex - Perfex CRM Admin/Staff Mobile App for Android & IOS | Flutter App with API Module Included,perfex api,relevance,1,8,159,2026-08-13T10:56:26+00:00
54636335,WhatsBot REST API Module for Perfex CRM - Connect your WhatsBot with third party applications,perfex api,relevance,1,9,28,2026-08-13T10:56:26+00:00
25421122,WordFex - Smart WordPress to Perfex CRM Integration,perfex api,relevance,1,10,240,2026-08-13T10:56:26+00:00
25459077,Appointly - Perfex CRM Appointments,perfex api,relevance,1,11,1500,2026-08-13T10:56:26+00:00
52698607,Glofex Clients Mobile APP for perfex,perfex api,relevance,1,12,6,2026-08-13T10:56:26+00:00
51719799,Glofex Admin/Employee Mobile APP for perfex,perfex api,relevance,1,13,39,2026-08-13T10:56:26+00:00
28889201,Zoom Meeting Manager,perfex api,relevance,1,14,194,2026-08-13T10:56:26+00:00
45928441,PrediX - AI Module For Perfex CRM,perfex api,relevance,1,15,192,2026-08-13T10:56:26+00:00
64257372,Perfex MCP - AI Integration Bridge for Perfex CRM,perfex api,relevance,1,16,4,2026-08-13T10:56:26+00:00
63896621,Perfex CRM Guardian,perfex api,relevance,1,17,6,2026-08-13T10:56:26+00:00
62619212,Secure Messages for Perfex CRM,perfex api,relevance,1,18,5,2026-08-13T10:56:26+00:00
38350010,Webhooks Automation Module for Perfex CRM,perfex api,relevance,1,19,634,2026-08-13T10:56:26+00:00
63426906,DailyBrief — Staff Daily Digest for Perfex CRM,perfex api,relevance,1,20,5,2026-08-13T10:56:26+00:00
59065356,AI-Powered Natural-Language Reporting Module for Perfex CRM,perfex api,relevance,1,21,21,2026-08-13T10:56:26+00:00
61450519,Perfex CRM Webhooks & n8n Automation Module – Real-Time Workflow Integration,perfex api,relevance,1,22,25,2026-08-13T10:56:26+00:00
63599831,TrackChat - Inbox for Perfex CRM with AI Agents,perfex api,relevance,1,23,28,2026-08-13T10:56:26+00:00
53317745,Zapier module for Perfex CRM - Workflow Automation,perfex api,relevance,1,24,176,2026-08-13T10:56:26+00:00
51300246,Flutex - Perfex CRM Customer Mobile App,perfex api,relevance,1,25,111,2026-08-13T10:56:26+00:00
53297436,"Google Workspace Integration module for Perfex CRM - Google Drive, Sheets, Docs, Forms & Slides",perfex api,relevance,1,26,268,2026-08-13T10:56:26+00:00
59692795,WHMCS Connector & Smart Data Synchronization for Perfex CRM,perfex api,relevance,1,27,22,2026-08-13T10:56:26+00:00
29084049,SAGE® Module for Perfex CRM,perfex api,relevance,1,28,34,2026-08-13T10:56:26+00:00
38262219,Δωρεάν ηλεκτρονική τιμολόγηση - myDATA ΑΑΔΕ module for Perfex CRM,perfex api,relevance,1,29,61,2026-08-13T10:56:26+00:00
53052338,"WhatsBot - WhatsApp Marketing, Bot, Chat & AI Personal Assistant Module for Perfex CRM",perfex api,relevance,1,30,399,2026-08-13T10:56:26+00:00
53052338,"WhatsBot - WhatsApp Marketing, Bot, Chat & AI Personal Assistant Module for Perfex CRM",perfex api,relevance,2,31,399,2026-08-13T10:56:34+00:00
24915950,WhatsApp Chat Module - Internal Client & Staff Support for Perfex CRM,perfex api,relevance,2,32,199,2026-08-13T10:56:34+00:00
61576402,NetGSM Sms Module for Perfex CRM,perfex api,relevance,2,33,1,2026-08-13T10:56:34+00:00
60043797,Wasabi Cloud Storage Integration for Perfex CRM,perfex api,relevance,2,34,2,2026-08-13T10:56:34+00:00
50659648,Google Lead Finder module for Perfex CRM,perfex api,relevance,2,35,155,2026-08-13T10:56:34+00:00
60471517,Google Geo Location Module for Perfex CRM,perfex api,relevance,2,36,18,2026-08-13T10:56:34+00:00
62458373,KRA eTIMS Integration Module for Perfex CRM – Kenya Tax Invoice Compliance,perfex api,relevance,2,37,1,2026-08-13T10:56:34+00:00
62256564,Whereby Meetings Module for Perfex CRM,perfex api,relevance,2,38,1,2026-08-13T10:56:34+00:00
61264795,TallySync – Tally Forms to Perfex CRM Integration,perfex api,relevance,2,39,3,2026-08-13T10:56:34+00:00
26512492,Shopier Payment Gateway for Perfex CRM,perfex api,relevance,2,40,13,2026-08-13T10:56:34+00:00
52358890,Xrise Admin/Staff Mobile App for Rise CRM,perfex api,relevance,2,41,27,2026-08-13T10:56:34+00:00
56303965,Square Payment Gateway for Perfex CRM,perfex api,relevance,2,42,22,2026-08-13T10:56:34+00:00
28622550,Timesheets and Leave Management module for Perfex CRM,perfex api,relevance,2,43,1200,2026-08-13T10:56:34+00:00
57443179,PhonePe Payment Gateway for Perfex CRM,perfex api,relevance,2,44,0,2026-08-13T10:56:34+00:00
46175176,Stripe SEPA Direct Debit Gateway Integration for Perfex,perfex api,relevance,2,45,79,2026-08-13T10:56:34+00:00
25623248,Facebook & Instagram Leads Synchronization module for Perfex CRM - Marketing Automation for Meta Ads,perfex api,relevance,2,46,617,2026-08-13T10:56:34+00:00
63896621,Perfex CRM Guardian,perfex crm,relevance,1,1,6,2026-08-13T10:57:46+00:00
23555097,Perfex CRM Chat,perfex crm,relevance,1,2,1800,2026-08-13T10:57:46+00:00
60590690,FlexiNote for Perfex CRM,perfex crm,relevance,1,3,40,2026-08-13T10:57:46+00:00
64235819,PWA & Push Notifications Module for Perfex CRM,perfex crm,relevance,1,4,11,2026-08-13T10:57:46+00:00
63210613,Work Orders for Perfex CRM,perfex crm,relevance,1,5,12,2026-08-13T10:57:46+00:00
64745705,"ScreenCapture – Screen Capture, Recording & Annotation Module for Perfex CRM",perfex crm,relevance,1,6,0,2026-08-13T10:57:46+00:00
25459077,Appointly - Perfex CRM Appointments,perfex crm,relevance,1,7,1500,2026-08-13T10:57:46+00:00
63599831,TrackChat - Inbox for Perfex CRM with AI Agents,perfex crm,relevance,1,8,28,2026-08-13T10:57:46+00:00
46070331,Perfex CRM SaaS Module - Transform Your Perfex CRM into a Powerful Multi-Tenancy Solution,perfex crm,relevance,1,9,1100,2026-08-13T10:57:46+00:00
63426623,Approval Workflow Module for Perfex CRM,perfex crm,relevance,1,10,9,2026-08-13T10:57:46+00:00
64257372,Perfex MCP - AI Integration Bridge for Perfex CRM,perfex crm,relevance,1,11,4,2026-08-13T10:57:46+00:00
25280191,Perfex CRM Office Theme,perfex crm,relevance,1,12,536,2026-08-13T10:57:46+00:00
27465701,Inventory Management module for Perfex CRM,perfex crm,relevance,1,13,1900,2026-08-13T10:57:46+00:00
26621431,Products and services for Perfex CRM,perfex crm,relevance,1,14,505,2026-08-13T10:57:46+00:00
31540126,Accounting and Bookkeeping module for Perfex CRM,perfex crm,relevance,1,15,1600,2026-08-13T10:57:46+00:00
38288487,Custom Links for Perfex CRM,perfex crm,relevance,1,16,451,2026-08-13T10:57:46+00:00
27462292,Purchase Management module for Perfex CRM,perfex crm,relevance,1,17,1700,2026-08-13T10:57:46+00:00
59910286,Workflow Automation module for Perfex CRM,perfex crm,relevance,1,18,81,2026-08-13T10:57:46+00:00
34466211,Language Translations for Perfex CRM,perfex crm,relevance,1,19,367,2026-08-13T10:57:46+00:00
27386413,Staff Workload for Perfex CRM,perfex crm,relevance,1,20,430,2026-08-13T10:57:46+00:00
29526843,Spreadsheet Online for Perfex CRM,perfex crm,relevance,1,21,409,2026-08-13T10:57:46+00:00
27730444,Team Password for Perfex CRM,perfex crm,relevance,1,22,444,2026-08-13T10:57:46+00:00
31317939,HR Records module for Perfex CRM,perfex crm,relevance,1,23,947,2026-08-13T10:57:46+00:00
25337376,WooCommerce Module for Perfex CRM,perfex crm,relevance,1,24,536,2026-08-13T10:57:46+00:00
63853557,AI Assistant Module For Perfex CRM,perfex crm,relevance,1,25,1,2026-08-13T10:57:46+00:00
